videoArchiveName,General Location,Deployment ID,Camera  type,Platform,Camera orientation,Depth,"Lat ",Long,Notes,,
Tripod Pulse 73 Dual Near-2,Station M,Pulse 73,Digital,Tripod Dual,Near field,,35.11702667,-122.9669633,,,
Tripod Pulse 73 Dual Near-3,Station M,Pulse 73,Digital,Tripod Dual,Near field,,35.11702667,-122.9669633,,,
Tripod Pulse 73 Dual Near-4,Station M,Pulse 73,Digital,Tripod Dual,Near field,,35.11702667,-122.9669633,,,
Tripod Pulse 73 Dual Near-5,Station M,Pulse 73,Digital,Tripod Dual,Near field,,35.11702667,-122.9669633,,,
Tripod Pulse 73 Dual Near-6,Station M,Pulse 73,Digital,Tripod Dual,Near field,,35.11702667,-122.9669633,,,
Tripod Pulse 73 Dual Near-7,Station M,Pulse 73,Digital,Tripod Dual,Near field,,35.11702667,-122.9669633,,,
Tripod Pulse 73 Dual Near-8,Station M,Pulse 73,Digital,Tripod Dual,Near field,,35.11702667,-122.9669633,,,
Tripod Pulse 74 Solo-1,Station M,Pulse 74,Digital,Tripod Solo,Far field,,35.1443,-122.9501833,,,
Tripod Pulse 74 Solo-2,Station M,Pulse 74,Digital,Tripod Solo,Far field,,35.1443,-122.9501833,,,
Tripod Pulse 74 Solo-3,Station M,Pulse 74,Digital,Tripod Solo,Far field,,35.1443,-122.9501833,,,
Tripod Pulse 74 Solo-4,Station M,Pulse 74,Digital,Tripod Solo,Far field,,35.1443,-122.9501833,,,
Tripod Pulse 74 Solo-5,Station M,Pulse 74,Digital,Tripod Solo,Far field,,35.1443,-122.9501833,,,
Tripod Pulse 74 Solo-6,Station M,Pulse 74,Digital,Tripod Solo,Far field,,35.1443,-122.9501833,,,
Tripod Pulse 74 Solo-7,Station M,Pulse 74,Digital,Tripod Solo,Far field,,35.1443,-122.9501833,,,
Tripod Pulse 74 Solo-8,Station M,Pulse 74,Digital,Tripod Solo,Far field,,35.1443,-122.9501833,,,
Tripod Pulse 75 Far Field Dual-1,Station M,Pulse 75,Digital,Tripod Dual,Far field,,35.11521667,-122.9664083,,,
Tripod Pulse 75 Far Field Dual-2,Station M,Pulse 75,Digital,Tripod Dual,Far field,,35.11521667,-122.9664083,,,
Tripod Pulse 75 Far Field Dual-3,Station M,Pulse 75,Digital,Tripod Dual,Far field,,35.11521667,-122.9664083,,,
Tripod Pulse 75 Far Field Dual-4,Station M,Pulse 75,Digital,Tripod Dual,Far field,,35.11521667,-122.9664083,,,
Tripod Pulse 75 Far Field Dual-5,Station M,Pulse 75,Digital,Tripod Dual,Far field,,35.11521667,-122.9664083,,,
Tripod Pulse 75 Far Field Dual-6,Station M,Pulse 75,Digital,Tripod Dual,Far field,,35.11521667,-122.9664083,,,
Tripod Pulse 75 Near Field Dual-1,Station M,Pulse 75,Digital,Tripod Dual,Near field,,35.11521667,-122.9664083,,,
Tripod Pulse 75 Near Field Dual-2,Station M,Pulse 75,Digital,Tripod Dual,Near field,,35.11521667,-122.9664083,,,
CameraSled 803,Station M,Pulse 8,Original film subsequently digitized,Camera sled,transect,,,,,,
Rover_transit_Pulse_58_Ken,Station M,Pulse_58,Digital,Rover,transit,,,,,,
Rover_transit_Pulse_59_Ken,Station M,Pulse_59,Digital,Rover,transit,,,,,,
Rover_transit_Pulse_60_Ken,Station M,Pulse_60,Digital,Rover,transit,,,,,,
Rover_transit_Pulse_71,Station M,Pulse_71,Digital,Rover,transit,,,,,,
Rover_transit_Pulse_72,Station M,Pulse_72,Digital,Rover,transit,,,,,,
MacroCam_MARS_Sept_2021,MARS,,,Macro Cam,Near field,,,,,,
PAP-JC062-119,Porcupine abyssal plain,,,,,,,,,,
PAP-JC071-043,Porcupine abyssal plain,,,,,,,,,,
S0055-01-tripod,,,,,,,,,Sargasso? I think okay to delete if no annotations,,
S6510-01-tripod,,,,,,,,,Sargasso? I think okay to delete if no annotations,,
SES Calibration Oct 2015,MBARI test tank,,,,,,,,,,
Stereo-200m,?,,,,,,,,,,
T17021-01-tripod,,,,,,,,,delete if no annotations,"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T2231-01-tripod,,,,,,,,,same as Tripod Pulse 02-1?,"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T22311-01-tripod,,,,,,,,,same as Tripod Pulse 02-2?,"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T26121-01-tripod,,,,,,,,,same as Tripod Pulse 26-1?,"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T7021-01-tripod,,,,,,,,,delete if no annotations,"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T70211-01-tripod,,,,,,,,,delete if no annotations,"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T70212011-01-tripod,,,,,,,,,delete if no annotations,"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T7022-01-tripod,,,,,,,,,delete if no annotations,"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T70221-01-tripod,,,,,,,,,delete if no annotations,"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T7023-01-tripod,,,,,,,,,delete if no annotations,"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T70231-01-tripod,,,,,,,,,delete if no annotations,"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T7024-01-tripod,,,,,,,,,delete if no annotations,"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T70241-01-tripod,,,,,,,,,delete if no annotations,"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T7107-01-tripod,,,,,,,,,delete if no annotations,"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
,,,,,,,,,,,
