videoArchiveName,General Location,Deployment ID,Camera  type,Platform,Camera orientation,Depth,"Lat ",Long,Notes,,
Tripod Pulse 45-3,Station M,Pulse 45,Original film subsequently digitized,Tripod Dual,Far field,4039,34.955,-123.22965,,,
Tripod Pulse 46-1,Station M,Pulse 46,Original film subsequently digitized,Tripod Dual,Far field,4035,34.93133333,-123.2653333,,,
Tripod Pulse 46-2,Station M,Pulse 46,Original film subsequently digitized,Tripod Dual,Far field,4035,34.93133333,-123.2653333,,,
Tripod Pulse 46-3,Station M,Pulse 46,Original film subsequently digitized,Tripod Dual,Far field,4035,34.93133333,-123.2653333,,,
Tripod Pulse 48-1,Station M,Pulse 48,Original film subsequently digitized,Tripod Dual,Far field,4070,34.90932194,-123.3070231,,,
Tripod Pulse 48-2,Station M,Pulse 48,Original film subsequently digitized,Tripod Dual,Far field,4070,34.90932194,-123.3070231,,,
Tripod Pulse 48-3,Station M,Pulse 48,Original film subsequently digitized,Tripod Dual,Far field,4070,34.90932194,-123.3070231,,,
Tripod Pulse 49-1,Station M,Pulse 49,Original film subsequently digitized,Tripod Dual,Far field,,34.92482,-123.3161983,,,
Tripod Pulse 49-2,Station M,Pulse 49,Original film subsequently digitized,Tripod Dual,Far field,,34.92482,-123.3161983,,,
Tripod Pulse 49-3,Station M,Pulse 49,Original film subsequently digitized,Tripod Dual,Far field,,34.92482,-123.3161983,,,
Tripod Pulse 52-1-FILM,Station M,Pulse 52,Original film subsequently digitized,Tripod Dual,Far field,4033,34.98093167,-123.1316717,,,
Tripod Pulse 52-2-FILM,Station M,Pulse 52,Original film subsequently digitized,Tripod Dual,Far field,4033,34.98093167,-123.1316717,,,
Tripod Pulse 52-FILM-1,Station M,Pulse 52,Original film subsequently digitized,Tripod Dual,Far field,4033,34.98093167,-123.1316717,,,
Tripod Pulse 52,Station M,Pulse 52,,,,,,,is this the same as the other Tripod Pulse 52 folders?,,
Grid Pulse 55,Station M,Pulse 55,Digital,Tripod Dual,Far field,4048,34.96033333,-123.2676667,,,
Tripod Pulse 55,Station M,Pulse 55,Digital,Tripod Dual,Far field,4048,34.96033333,-123.2676667,,,
Tripod Pulse 55-1,Station M,Pulse 55,Digital,Tripod Dual,Far field,4048,34.96033333,-123.2676667,,,
Tripod Pulse 55-2,Station M,Pulse 55,Digital,Tripod Dual,Far field,4048,34.96033333,-123.2676667,,,
Tripod Pulse 55-3,Station M,Pulse 55,Digital,Tripod Dual,Far field,4048,34.96033333,-123.2676667,,,
Grid Pulse 56,Station M,Pulse 56,Digital,Tripod Dual,Far field,,34.94849167,-123.28179,,,
Tripod Pulse 56,Station M,Pulse 56,Digital,Tripod Dual,Far field,,34.94849167,-123.28179,,,
Grid Pulse 57,Station M,Pulse 57,Digital,Tripod Dual,Far field,,34.96555167,-123.2491217,,,
Tripod Pulse 57,Station M,Pulse 57,Digital,Tripod Dual,Far field,,34.96555167,-123.2491217,,,
Grid Pulse 58,Station M,Pulse 58,Digital,Tripod Dual,Far field,,35.10546667,-123.0861667,,,
Tripod Pulse 58,Station M,Pulse 58,Digital,Tripod Dual,Far field,,35.10546667,-123.0861667,,,
Rover fluoro Pulse 58,Station M,Pulse 58,Digital,Rover,fluorescence,,,,,,
